Program,PriorExp,Rexperience,OperatingSystem,GamingHours,Editor
SOE,Extensive experience,Basic competence,Windows,none,Microsoft Word
NonEcon,Some experience,Never used,Windows,3.5,Microsoft Word
NonEcon,Some experience,Basic competence,Mac OS X,30,Microsoft Word
OtherEcon,Some experience,Basic competence,Mac OS X,6,Microsoft Excel
SOE,Some experience,Basic competence,Mac OS X,20,LaTeX
NonEcon,Never programmed before,Never used,Windows,15,Microsoft Word
OtherEcon,Some experience,Installed on machine,Windows,approx 6,Microsoft Word
OtherEcon,Some experience,Basic competence,Mac OS X,8,Microsoft Word
NonEcon,Extensive experience,Installed on machine,Windows,10,Microsoft Word
SOE,Extensive experience,Never used,Windows,0,Microsoft Word
SOE,Some experience,Never used,Windows,4,Microsoft Word
SOE,Extensive experience,Installed on machine,Mac OS X,0,Microsoft Word
NonEcon,Some experience,Never used,Windows,0,Microsoft Word
SOE,Some experience,Installed on machine,Windows,2,Microsoft Word
SOE,Some experience,Never used,Windows,24,Microsoft Word
SOE,Some experience,Never used,Mac OS X,10  w/Netflix,Microsoft Word
SOE,Some experience,Installed on machine,Windows,25,Microsoft Word
NonEcon,Some experience,Never used,Windows,0,Microsoft Word
SOE,Some experience,Never used,Windows,0,Microsoft Word
SOE,Some experience,Installed on machine,Windows,10,Microsoft Word
OtherEcon,Never programmed before,Never used,Mac OS X,5ish,Microsoft Word
OtherEcon,Never programmed before,Never used,Mac OS X,35,Microsoft Word
OtherEcon,Some experience,Never used,Windows,2.5,Microsoft Word
OtherEcon,Never programmed before,Never used,Windows,2,Microsoft Word
NonEcon,Some experience,Never used,Mac OS X,5,Microsoft Word
SOE,Some experience,Never used,Windows,adfkj,Microsoft Word
SOE,Some experience,Basic competence,Mac OS X,0,LaTeX
SOE,Some experience,Basic competence,Mac OS X,0,LaTeX
SOE,Some experience,Installed on machine,Windows,10ish,Microsoft Word
SOE,Some experience,Never used,Windows,5,Microsoft Word
SOE,Extensive experience,Basic competence,Mac OS X,40,Microsoft Word
SOE,Some experience,Never used,Mac OS X,10,Microsoft Word
SOE,Some experience,Installed on machine,Mac OS X,0,Microsoft Word
NonEcon,Some experience,Installed on machine,Windows,20,Microsoft Word
SOE,Some experience,Basic competence,Mac OS X,0,LaTeX
NonEcon,Never programmed before,Installed on machine,Mac OS X,6,Microsoft Word
SOE,Extensive experience,Basic competence,Windows,2,LaTeX
OtherEcon,Never programmed before,Never used,Mac OS X,10,Microsoft Word
OtherEcon,Some experience,Basic competence,Windows,10,LaTeX
SOE,Extensive experience,Installed on machine,Mac OS X,7,Microsoft Word